Tahun	Bulan	Jenis Ikan	Volume Produksi (kg)
2020	Maret	Tenggiri (Narrow barred king mackerel)	4.073
2020	Maret	Cucut (Sharks)	89
2020	Maret	Manyung (Sea-cat fishes)	901
2020	Maret	Sebelah (Croaker)	781
2020	Maret	Kuwe (Great trevally)	1.038
2020	Maret	Bawal Hitam (Black pomfret)	268
2020	Maret	Bawal Putih (White pomfret)	83
2020	Maret	Golok-Golok (Dorab Wolf Hering)	821
2020	Maret	Beloso (Lizard fishes)	936
2020	Maret	Gerot-gerot (Saddle grunt)	415
2020	Maret	Peperek (Pony fishes)	35.053
2020	Maret	Kakap Putih (Giant Perach)	29
2020	Maret	Kakap Merah (Red Snapper)	157
2020	Maret	Jenaha (Snapper)	264
2020	Maret	Kurisi (Threadfin bream)	443
2020	Maret	Kuniran (Sulphur goatfish)	10.490
2020	Maret	Kuro (Giant threadfish)	312
2020	Maret	Samgeh (Croackers)	4.567
2020	Maret	Alu-alu (Barracuda)	1.611
2020	Maret	Kerong-Kerong (Jarbua terapon)	1.302
2020	Maret	Layur (Hairtail fishes)	597
2020	Maret	Pari (Rays)	2.229
2020	Maret	Ekor Kuning (Yellow tail)	239
2020	Maret	Kerapu (Grouper)	317
2020	Maret	Beronang (Spotted spinefoot)	794
2020	Maret	" Udang 
Jerbung"	1.122
2020	Maret	Udang Krosok (Tiger cat shrimp)	1.221
2020	Maret	Rajungan (Swimming crabs)	6.480
2020	Maret	Cumi-cumi (Common squids)	29.785
2020	Maret	Sotong (Cuttle fish)	2.099
2020	Maret	Gurita (Octopuses)	121
2020	Maret	Udang lainnya (Other shrimps)	2.207
2020	Maret	Ikan Lainnya (Others)	599
2020	April	Teri (Anchovy)	44.694
2020	April	Teri Nasi (Anchovies)	-
2020	April	Belanak (Mullets)	612
2020	April	Bentong (Oxeye scad)	1
2020	April	Cendro (Needle fish)	120
2020	April	Talang-Talang (Queen fish)	32
2020	April	Ikan Terbang (Flying fish)	12
2020	April	Japuh (Rainbow sardine)	529
2020	April	Kembung (Indian mackerels)	8.640
2020	April	Layang (Scads)	1.794
2020	April	Siro/Lemuru (Spotted sardinella)	328
2020	April	Selar (Trevallies)	3.530
2020	April	Tembang (Fringescale sardinella)	9.634
2020	April	Selanget (Chacunda gizzard shad)	3.397
2020	April	Tetengkek (Torpedo scad)	533
2020	April	Semar (Mene maculata)	407
2020	April	Tongkol (Frigate tuna)	2.011
2020	April	Layaran (Indo-pacific sailfish)	16
2020	April	Tenggiri (Narrow barred king mackerel)	4.073
2020	April	Cucut (Sharks)	89
2020	April	Manyung (Sea-cat fishes)	901
2020	April	Sebelah (Croaker)	781
2020	April	Kuwe (Great trevally)	1.038
2020	April	Bawal Hitam (Black pomfret)	268
2020	April	Bawal Putih (White pomfret)	83
2020	April	Golok-Golok (Dorab Wolf Hering)	821
2020	April	Beloso (Lizard fishes)	936
2020	April	Gerot-gerot (Saddle grunt)	415
2020	April	Peperek (Pony fishes)	35.053
2020	April	Kakap Putih (Giant Perach)	29
2020	April	Kakap Merah (Red Snapper)	157
2020	April	Jenaha (Snapper)	264
2020	April	Kurisi (Threadfin bream)	443
2020	April	Kuniran (Sulphur goatfish)	10.490
2020	April	Kuro (Giant threadfish)	312
2020	April	Samgeh (Croackers)	4.567
2020	April	Alu-alu (Barracuda)	1.611
2020	April	Kerong-Kerong (Jarbua terapon)	1.302
2020	April	Layur (Hairtail fishes)	597
2020	April	Pari (Rays)	2.229
2020	April	Ekor Kuning (Yellow tail)	239
2020	April	Kerapu (Grouper)	317
2020	April	Beronang (Spotted spinefoot)	794
2020	April	" Udang 
Jerbung"	1.122
2020	April	Udang Krosok (Tiger cat shrimp)	1.221
2020	April	Rajungan (Swimming crabs)	6.480
2020	April	Cumi-cumi (Common squids)	29.785
2020	April	Sotong (Cuttle fish)	2.099
2020	April	Gurita (Octopuses)	121
2020	April	Udang lainnya (Other shrimps)	2.207
2020	April	Ikan Lainnya (Others)	599
2020	Mei	Teri (Anchovy)	18.845
2020	Mei	Teri Nasi (Anchovies)	-
2020	Mei	Belanak (Mullets)	459
2020	Mei	Bentong (Oxeye scad)	217
2020	Mei	Cendro (Needle fish)	119
2020	Mei	Talang-Talang (Queen fish)	415
2020	Mei	Ikan Terbang (Flying fish)	-
2020	Mei	Japuh (Rainbow sardine)	4.613
2020	Mei	Kembung (Indian mackerels)	9.338
2020	Mei	Layang (Scads)	5.481
2020	Mei	Siro/Lemuru (Spotted sardinella)	379
2020	Mei	Selar (Trevallies)	2.261
2020	Mei	Tembang (Fringescale sardinella)	10.356
2020	Mei	Selanget (Chacunda gizzard shad)	2.171
2020	Mei	Tetengkek (Torpedo scad)	726
2020	Mei	Semar (Mene maculata)	492
2020	Mei	Tongkol (Frigate tuna)	4.632
2020	Mei	Layaran (Indo-pacific sailfish)	48
2020	Mei	Tenggiri (Narrow barred king mackerel)	2.656
2020	Mei	Cucut (Sharks)	208
2020	Mei	Manyung (Sea-cat fishes)	558
2020	Mei	Sebelah (Croaker)	860
2020	Mei	Kuwe (Great trevally)	1.687
2020	Mei	Bawal Hitam (Black pomfret)	169
2020	Mei	Bawal Putih (White pomfret)	46
2020	Mei	Golok-Golok (Dorab Wolf Hering)	639
2020	Mei	Beloso (Lizard fishes)	1.128
2020	Mei	Gerot-gerot (Saddle grunt)	378
2020	Mei	Peperek (Pony fishes)	38.034
2020	Mei	Kakap Putih (Giant Perach)	40
2020	Mei	Kakap Merah (Red Snapper)	226
2020	Mei	Jenaha (Snapper)	404
2020	Mei	Kurisi (Threadfin bream)	535
2020	Mei	Kuniran (Sulphur goatfish)	13.374
2020	Mei	Kuro (Giant threadfish)	304
2020	Mei	Samgeh (Croackers)	5.658
2020	Mei	Alu-alu (Barracuda)	1.147
2020	Mei	Kerong-Kerong (Jarbua terapon)	454
2020	Mei	Layur (Hairtail fishes)	214
2020	Mei	Pari (Rays)	2.155
2020	Mei	Ekor Kuning (Yellow tail)	462
2020	Mei	Kerapu (Grouper)	186
2020	Mei	Beronang (Spotted spinefoot)	164
2020	Mei	" Udang 
Jerbung"	591
2020	Mei	Udang Krosok (Tiger cat shrimp)	970
2020	Mei	Rajungan (Swimming crabs)	5.471
2020	Mei	Cumi-cumi (Common squids)	10.751
2020	Mei	Sotong (Cuttle fish)	1.526
2020	Mei	Gurita (Octopuses)	253
2020	Mei	Udang lainnya (Other shrimps)	2.377
2020	Mei	Ikan Lainnya (Others)	372
2020	Juni	Teri (Anchovy)	31.820
2020	Juni	Teri Nasi (Anchovies)	1.002
2020	Juni	Belanak (Mullets)	584
2020	Juni	Bentong (Oxeye scad)	604
2020	Juni	Cendro (Needle fish)	166
2020	Juni	Talang-Talang (Queen fish)	714
2020	Juni	Ikan Terbang (Flying fish)	-
2020	Juni	Japuh (Rainbow sardine)	3603
2020	Juni	Kembung (Indian mackerels)	10.395
2020	Juni	Layang (Scads)	7.504
2020	Juni	Siro/Lemuru (Spotted sardinella)	2.144
2020	Juni	Selar (Trevallies)	3.010
2020	Juni	Tembang (Fringescale sardinella)	11.980
2020	Juni	Selanget (Chacunda gizzard shad)	2.330
2020	Juni	Tetengkek (Torpedo scad)	3908
2020	Juni	Semar (Mene maculata)	666
2020	Juni	Tongkol (Frigate tuna)	195
2020	Juni	Layaran (Indo-pacific sailfish)	-
2020	Juni	Tenggiri (Narrow barred king mackerel)	1.234
2020	Juni	Cucut (Sharks)	69
2020	Juni	Manyung (Sea-cat fishes)	278
2020	Juni	Sebelah (Croaker)	1.025
2020	Juni	Kuwe (Great trevally)	1.485
2020	Juni	Bawal Hitam (Black pomfret)	69
2020	Juni	Bawal Putih (White pomfret)	-
2020	Juni	Golok-Golok (Dorab Wolf Hering)	557
2020	Juni	Beloso (Lizard fishes)	1.414
2020	Juni	Gerot-gerot (Saddle grunt)	231
2020	Juni	Peperek (Pony fishes)	41.681
2020	Juni	Kakap Putih (Giant Perach)	66
2020	Juni	Kakap Merah (Red Snapper)	128
2020	Juni	Jenaha (Snapper)	33
2020	Juni	Kurisi (Threadfin bream)	678
2020	Juni	Kuniran (Sulphur goatfish)	14.286
2020	Juni	Kuro (Giant threadfish)	332
2020	Juni	Samgeh (Croackers)	5.748
2020	Juni	Alu-alu (Barracuda)	565
2020	Juni	Kerong-Kerong (Jarbua terapon)	216
2020	Juni	Layur (Hairtail fishes)	12
2020	Juni	Pari (Rays)	1.795
2020	Juni	Ekor Kuning (Yellow tail)	232
2020	Juni	Kerapu (Grouper)	228
2020	Juni	Beronang (Spotted spinefoot)	130
2020	Juni	" Udang 
Jerbung"	1043
2020	Juni	Udang Krosok (Tiger cat shrimp)	3.692
2020	Juni	Rajungan (Swimming crabs)	7.562
2020	Juni	Cumi-cumi (Common squids)	6.610
2020	Juni	Sotong (Cuttle fish)	1.326
2020	Juni	Gurita (Octopuses)	195
2020	Juni	Udang lainnya (Other shrimps)	13.746
2020	Juni	Ikan Lainnya (Others)	164
2020	Juli	Teri (Anchovy)	26.371
2020	Juli	Teri Nasi (Anchovies)	-
2020	Juli	Belanak (Mullets)	956
2020	Juli	Bentong (Oxeye scad)	555
2020	Juli	Cendro (Needle fish)	195
2020	Juli	Talang-Talang (Queen fish)	221
2020	Juli	Ikan Terbang (Flying fish)	2
2020	Juli	Japuh (Rainbow sardine)	314
2020	Juli	Kembung (Indian mackerels)	11.171
2020	Juli	Layang (Scads)	1.879
2020	Juli	Siro/Lemuru (Spotted sardinella)	773
2020	Juli	Selar (Trevallies)	865
2020	Juli	Tembang (Fringescale sardinella)	8.131
2020	Juli	Selanget (Chacunda gizzard shad)	2.542
2020	Juli	Tetengkek (Torpedo scad)	736
2020	Juli	Semar (Mene maculata)	99
2020	Juli	Tongkol (Frigate tuna)	213
2020	Juli	Layaran (Indo-pacific sailfish)	177
2020	Juli	Tenggiri (Narrow barred king mackerel)	974
2020	Juli	Cucut (Sharks)	2
2020	Juli	Manyung (Sea-cat fishes)	303
2020	Juli	Sebelah (Croaker)	1.151
2020	Juli	Kuwe (Great trevally)	1.914
2020	Juli	Bawal Hitam (Black pomfret)	-
2020	Juli	Bawal Putih (White pomfret)	-
2020	Juli	Golok-Golok (Dorab Wolf Hering)	429
2020	Juli	Beloso (Lizard fishes)	1.121
2020	Juli	Gerot-gerot (Saddle grunt)	147
2020	Juli	Peperek (Pony fishes)	54.219
2020	Juli	Kakap Putih (Giant Perach)	58
2020	Juli	Kakap Merah (Red Snapper)	101
2020	Juli	Jenaha (Snapper)	24
2020	Juli	Kurisi (Threadfin bream)	934
2020	Juli	Kuniran (Sulphur goatfish)	15.153
2020	Juli	Kuro (Giant threadfish)	423
2020	Juli	Samgeh (Croackers)	7.670
2020	Juli	Alu-alu (Barracuda)	549
2020	Juli	Kerong-Kerong (Jarbua terapon)	210
2020	Juli	Layur (Hairtail fishes)	116
2020	Juli	Pari (Rays)	2.261
2020	Juli	Ekor Kuning (Yellow tail)	276
2020	Juli	Kerapu (Grouper)	270
2020	Juli	Beronang (Spotted spinefoot)	71
2020	Juli	" Udang 
Jerbung"	575
2020	Juli	Udang Krosok (Tiger cat shrimp)	4.003
2020	Juli	Rajungan (Swimming crabs)	6.601
2020	Juli	Cumi-cumi (Common squids)	6.045
2020	Juli	Sotong (Cuttle fish)	1.950
2020	Juli	Gurita (Octopuses)	210
2020	Juli	Udang lainnya (Other shrimps)	8.189
2020	Juli	Ikan Lainnya (Others)	189
2020	Agustus	Teri (Anchovy)	69.764
2020	Agustus	Teri Nasi (Anchovies)	-
2020	Agustus	Belanak (Mullets)	983
2020	Agustus	Bentong (Oxeye scad)	372
2020	Agustus	Cendro (Needle fish)	77
2020	Agustus	Talang-Talang (Queen fish)	626
2020	Agustus	Ikan Terbang (Flying fish)	78
2020	Agustus	Japuh (Rainbow sardine)	3.329
2020	Agustus	Kembung (Indian mackerels)	6.583
2020	Agustus	Layang (Scads)	68
2020	Agustus	Siro/Lemuru (Spotted sardinella)	951
2020	Agustus	Selar (Trevallies)	281
2020	Agustus	Tembang (Fringescale sardinella)	11.533
2020	Agustus	Selanget (Chacunda gizzard shad)	2.221
2020	Agustus	Tetengkek (Torpedo scad)	1.633
2020	Agustus	Semar (Mene maculata)	-
2020	Agustus	Tongkol (Frigate tuna)	1.582
2020	Agustus	Layaran (Indo-pacific sailfish)	37
2020	Agustus	Tenggiri (Narrow barred king mackerel)	1.095
2020	Agustus	Cucut (Sharks)	363
2020	Agustus	Manyung (Sea-cat fishes)	359
2020	Agustus	Sebelah (Croaker)	966
2020	Agustus	Kuwe (Great trevally)	735
2020	Agustus	Bawal Hitam (Black pomfret)	-
2020	Agustus	Bawal Putih (White pomfret)	-
2020	Agustus	Golok-Golok (Dorab Wolf Hering)	745
2020	Agustus	Beloso (Lizard fishes)	1.181
2020	Agustus	Gerot-gerot (Saddle grunt)	27
2020	Agustus	Peperek (Pony fishes)	46.880
