Tahun	Bulan	Jenis Ikan	Volume Produksi (kg)
2021	September	Sotong (Cuttle fish)	3.180
2021	September	Gurita (Octopuses)	284
2021	September	Udang lainnya (Other shrimps)	6.399
2021	September	"Udang Dogol (Metapenaeus 
monoceros)"	-
2021	September	" Sembilang  Euristhmus 
microceps"	146
2021	September	"Udang Kipas Tenus 
Orientalis"	184
2021	September	" Ikan 
LainnyaOthers"	485
2021	Oktober	Teri (Anchovy)	32.152
2021	Oktober	Teri Nasi (Anchovies)	-
2021	Oktober	Belanak (Mullets)	786
2021	Oktober	Bentong (Oxeye scad)	65
2021	Oktober	Cendro (Needle fish)	259
2021	Oktober	Talang-Talang (Queen fish)	318
2021	Oktober	Ikan Terbang (Flying fish)	53
2021	Oktober	Japuh (Rainbow sardine)	5.159
2021	Oktober	Kembung (Indian mackerels)	16.917
2021	Oktober	Layang (Scads)	95
2021	Oktober	Siro/Lemuru (Spotted sardinella)	247
2021	Oktober	Selar (Trevallies)	4.323
2021	Oktober	Tembang (Fringescale sardinella)	10.477
2021	Oktober	Selanget (Chacunda gizzard shad)	2.823
2021	Oktober	Tetengkek (Torpedo scad)	572
2021	Oktober	Semar (Mene maculata)	718
2021	Oktober	Tongkol (Frigate tuna)	2.033
2021	Oktober	Layaran (Indo-pacific sailfish)	-
2021	Oktober	Tenggiri (Narrow barred king mackerel)	777
2021	Oktober	Cucut (Sharks)	11
2021	Oktober	Manyung (Sea-cat fishes)	415
2021	Oktober	Sebelah (Croaker)	741
2021	Oktober	Kuwe (Great trevally)	302
2021	Oktober	Bawal Hitam (Black pomfret)	-
2021	Oktober	Bawal Putih (White pomfret)	-
2021	Oktober	Golok-Golok (Dorab Wolf Hering)	57
2021	Oktober	Beloso (Lizard fishes)	2.363
2021	Oktober	Gerot-gerot (Saddle grunt)	12
2021	Oktober	Peperek (Pony fishes)	54.890
2021	Oktober	Kakap Putih (Giant Perach)	76
2021	Oktober	Kakap Merah (Red Snapper)	114
2021	Oktober	Jenaha (Snapper)	44
2021	Oktober	Kurisi (Threadfin bream)	1.043
2021	Oktober	Kuniran (Sulphur goatfish)	30.867
2021	Oktober	Kuro (Giant threadfish)	159
2021	Oktober	Samgeh (Croackers)	306
2021	Oktober	Alu-alu (Barracuda)	-
2021	Oktober	Kerong-Kerong (Jarbua terapon)	10
2021	Oktober	Layur (Hairtail fishes)	5.748
2021	Oktober	Pari (Rays)	1.258
2021	Oktober	Ekor Kuning (Yellow tail)	515
2021	Oktober	Kerapu (Grouper)	74
2021	Oktober	Beronang (Spotted spinefoot)	36
2021	Oktober	" Udang 
Jerbung"	669
2021	Oktober	Udang Krosok (Tiger cat shrimp)	4.200
2021	Oktober	Rajungan (Swimming crabs)	7.196
2021	Oktober	Cumi-cumi (Common squids)	17.619
2021	Oktober	Sotong (Cuttle fish)	1.503
2021	Oktober	Gurita (Octopuses)	303
2021	Oktober	Udang lainnya (Other shrimps)	5.962
2021	Oktober	"Udang Dogol (Metapenaeus 
monoceros)"	62
2021	Oktober	" Sembilang  Euristhmus 
microceps"	462
2021	Oktober	"Udang Kipas Tenus 
Orientalis"	701
2021	Oktober	" Ikan 
LainnyaOthers"	90
2021	November	Teri (Anchovy)	35.833
2021	November	Teri Nasi (Anchovies)	7
2021	November	Belanak (Mullets)	592
2021	November	Bentong (Oxeye scad)	106
2021	November	Cendro (Needle fish)	199
2021	November	Talang-Talang (Queen fish)	63
2021	November	Ikan Terbang (Flying fish)	-
2021	November	Japuh (Rainbow sardine)	1.702
2021	November	Kembung (Indian mackerels)	16.220
2021	November	Layang (Scads)	4
2021	November	Siro/Lemuru (Spotted sardinella)	1.471
2021	November	Selar (Trevallies)	9.138
2021	November	Tembang (Fringescale sardinella)	23.010
2021	November	Selanget (Chacunda gizzard shad)	2.541
2021	November	Tetengkek (Torpedo scad)	1.135
2021	November	Semar (Mene maculata)	934
2021	November	Tongkol (Frigate tuna)	5.301
2021	November	Layaran (Indo-pacific sailfish)	44
2021	November	Tenggiri (Narrow barred king mackerel)	1.898
2021	November	Cucut (Sharks)	60
2021	November	Manyung (Sea-cat fishes)	693
2021	November	Sebelah (Croaker)	670
2021	November	Kuwe (Great trevally)	352
2021	November	Bawal Hitam (Black pomfret)	-
2021	November	Bawal Putih (White pomfret)	-
2021	November	Golok-Golok (Dorab Wolf Hering)	184
2021	November	Beloso (Lizard fishes)	2.246
2021	November	Gerot-gerot (Saddle grunt)	57
2021	November	Peperek (Pony fishes)	51.650
2021	November	Kakap Putih (Giant Perach)	37
2021	November	Kakap Merah (Red Snapper)	186
2021	November	Jenaha (Snapper)	99
2021	November	Kurisi (Threadfin bream)	986
2021	November	Kuniran (Sulphur goatfish)	17.186
2021	November	Kuro (Giant threadfish)	72
2021	November	Samgeh (Croackers)	185
2021	November	Alu-alu (Barracuda)	-
2021	November	Kerong-Kerong (Jarbua terapon)	
2021	November	Layur (Hairtail fishes)	4.857
2021	November	Pari (Rays)	1.330
2021	November	Ekor Kuning (Yellow tail)	631
2021	November	Kerapu (Grouper)	27
2021	November	Beronang (Spotted spinefoot)	44
2021	November	" Udang 
Jerbung"	957
2021	November	Udang Krosok (Tiger cat shrimp)	2.510
2021	November	Rajungan (Swimming crabs)	5.921
2021	November	Cumi-cumi (Common squids)	27.637
2021	November	Sotong (Cuttle fish)	1.766
2021	November	Gurita (Octopuses)	247
2021	November	Udang lainnya (Other shrimps)	2.872
2021	November	"Udang Dogol (Metapenaeus 
monoceros)"	105
2021	November	" Sembilang  Euristhmus 
microceps"	635
2021	November	"Udang Kipas Tenus 
Orientalis"	399
2021	November	" Ikan 
LainnyaOthers"	126
2021	Desember	Teri (Anchovy)	8.429
2021	Desember	Teri Nasi (Anchovies)	30
2021	Desember	Belanak (Mullets)	197
2021	Desember	Bentong (Oxeye scad)	176
2021	Desember	Cendro (Needle fish)	184
2021	Desember	Talang-Talang (Queen fish)	336
2021	Desember	Ikan Terbang (Flying fish)	-
2021	Desember	Japuh (Rainbow sardine)	3.915
2021	Desember	Kembung (Indian mackerels)	24.257
2021	Desember	Layang (Scads)	7
2021	Desember	Siro/Lemuru (Spotted sardinella)	748
2021	Desember	Selar (Trevallies)	3.715
2021	Desember	Tembang (Fringescale sardinella)	10.562
2021	Desember	Selanget (Chacunda gizzard shad)	3.105
2021	Desember	Tetengkek (Torpedo scad)	293
2021	Desember	Semar (Mene maculata)	1.107
2021	Desember	Tongkol (Frigate tuna)	884
2021	Desember	Layaran (Indo-pacific sailfish)	21
2021	Desember	Tenggiri (Narrow barred king mackerel)	4.084
2021	Desember	Cucut (Sharks)	113
2021	Desember	Manyung (Sea-cat fishes)	744
2021	Desember	Sebelah (Croaker)	319
2021	Desember	Kuwe (Great trevally)	343
2021	Desember	Bawal Hitam (Black pomfret)	-
2021	Desember	Bawal Putih (White pomfret)	5
2021	Desember	Golok-Golok (Dorab Wolf Hering)	100
2021	Desember	Beloso (Lizard fishes)	2.950
2021	Desember	Gerot-gerot (Saddle grunt)	79
2021	Desember	Peperek (Pony fishes)	54.367
2021	Desember	Kakap Putih (Giant Perach)	10
2021	Desember	Kakap Merah (Red Snapper)	344
2021	Desember	Jenaha (Snapper)	139
2021	Desember	Kurisi (Threadfin bream)	888
2021	Desember	Kuniran (Sulphur goatfish)	20.375
2021	Desember	Kuro (Giant threadfish)	105
2021	Desember	Samgeh (Croackers)	153
2021	Desember	Alu-alu (Barracuda)	-
2021	Desember	Kerong-Kerong (Jarbua terapon)	20
2021	Desember	Layur (Hairtail fishes)	3.751
2021	Desember	Pari (Rays)	1.828
2021	Desember	Ekor Kuning (Yellow tail)	655
2021	Desember	Kerapu (Grouper)	132
2021	Desember	Beronang (Spotted spinefoot)	75
2021	Desember	" Udang 
Jerbung"	496
2021	Desember	Udang Krosok (Tiger cat shrimp)	1.365
2021	Desember	Rajungan (Swimming crabs)	6.466
2021	Desember	Cumi-cumi (Common squids)	12.984
2021	Desember	Sotong (Cuttle fish)	3.462
2021	Desember	Gurita (Octopuses)	152
2021	Desember	Udang lainnya (Other shrimps)	96
2021	Desember	"Udang Dogol (Metapenaeus 
monoceros)"	20
2021	Desember	" Sembilang  Euristhmus 
microceps"	153
2021	Desember	"Udang Kipas Tenus 
Orientalis"	201
2021	Desember	" Ikan 
LainnyaOthers"	160
2022	Januari	Teri (Anchovy)	20.716
2022	Januari	Teri Nasi (Anchovies)	-
2022	Januari	Belanak (Mullets)	554
2022	Januari	Bentong (Oxeye scad)	336
2022	Januari	Cendro (Needle fish)	83
2022	Januari	Talang-Talang (Queen fish)	113
2022	Januari	Ikan Terbang (Flying fish)	13
2022	Januari	Japuh (Rainbow sardine)	2.584
2022	Januari	Kembung (Indian mackerels)	18.937
2022	Januari	Layang (Scads)	-
2022	Januari	Siro/Lemuru (Spotted sardinella)	31
2022	Januari	Selar (Trevallies)	2.583
2022	Januari	Tembang (Fringescale sardinella)	6.176
2022	Januari	Selanget (Chacunda gizzard shad)	3.890
2022	Januari	Tetengkek (Torpedo scad)	178
2022	Januari	Semar (Mene maculata)	50
2022	Januari	Tongkol (Frigate tuna)	2.307
2022	Januari	Layaran (Indo-pacific sailfish)	43
2022	Januari	Tenggiri (Narrow barred king mackerel)	2.867
2022	Januari	Cucut (Sharks)	34
2022	Januari	Manyung (Sea-cat fishes)	871
2022	Januari	Sebelah (Croaker)	452
2022	Januari	Kuwe (Great trevally)	154
2022	Januari	Bawal Hitam (Black pomfret)	1
2022	Januari	Bawal Putih (White pomfret)	5
2022	Januari	Golok-Golok (Dorab Wolf Hering)	138
2022	Januari	Beloso (Lizard fishes)	2.579
2022	Januari	Gerot-gerot (Saddle grunt)	-
2022	Januari	Peperek (Pony fishes)	50.093
2022	Januari	Kakap Putih (Giant Perach)	55
2022	Januari	Kakap Merah (Red Snapper)	62
2022	Januari	Jenaha (Snapper)	69
2022	Januari	Kurisi (Threadfin bream)	1.185
2022	Januari	Kuniran (Sulphur goatfish)	33.624
2022	Januari	Kuro (Giant threadfish)	22
2022	Januari	Samgeh (Croackers)	254
2022	Januari	Alu-alu (Barracuda)	-
2022	Januari	Kerong-Kerong (Jarbua terapon)	32
2022	Januari	Layur (Hairtail fishes)	3.717
2022	Januari	Pari (Rays)	1.168
2022	Januari	Ekor Kuning (Yellow tail)	436
2022	Januari	Kerapu (Grouper)	57
2022	Januari	Beronang (Spotted spinefoot)	15
2022	Januari	" Udang 
Jerbung"	582
2022	Januari	Udang Krosok (Tiger cat shrimp)	1.196
2022	Januari	Rajungan (Swimming crabs)	5.799
2022	Januari	Cumi-cumi (Common squids)	17.756
2022	Januari	Sotong (Cuttle fish)	1.164
2022	Januari	Gurita (Octopuses)	143
2022	Januari	Udang lainnya (Other shrimps)	6.359
2022	Januari	" Sembilang  Euristhmus 
microceps"	109
2022	Januari	"Udang Kipas Tenus 
Orientalis"	282
2022	Januari	" Ikan 
LainnyaOthers"	336
2022	Februari	Teri (Anchovy)	7.449
2022	Februari	Teri Nasi (Anchovies)	-
2022	Februari	Belanak (Mullets)	73
2022	Februari	Bentong (Oxeye scad)	136
2022	Februari	Cendro (Needle fish)	102
2022	Februari	Talang-Talang (Queen fish)	229
2022	Februari	Ikan Terbang (Flying fish)	-
2022	Februari	Japuh (Rainbow sardine)	1.395
2022	Februari	Kembung (Indian mackerels)	23.156
2022	Februari	Layang (Scads)	-
2022	Februari	Siro/Lemuru (Spotted sardinella)	818
2022	Februari	Selar (Trevallies)	3.089
2022	Februari	Tembang (Fringescale sardinella)	3.793
2022	Februari	Selanget (Chacunda gizzard shad)	3.153
2022	Februari	Tetengkek (Torpedo scad)	224
2022	Februari	Semar (Mene maculata)	125
2022	Februari	Tongkol (Frigate tuna)	12.916
2022	Februari	Layaran (Indo-pacific sailfish)	39
2022	Februari	Tenggiri (Narrow barred king mackerel)	2.740
2022	Februari	Cucut (Sharks)	118
2022	Februari	Manyung (Sea-cat fishes)	807
2022	Februari	Sebelah (Croaker)	223
2022	Februari	Kuwe (Great trevally)	297
2022	Februari	Bawal Hitam (Black pomfret)	-
2022	Februari	Bawal Putih (White pomfret)	-
2022	Februari	Golok-Golok (Dorab Wolf Hering)	60
2022	Februari	Beloso (Lizard fishes)	2.830
2022	Februari	Gerot-gerot (Saddle grunt)	-
2022	Februari	Peperek (Pony fishes)	43.843
2022	Februari	Kakap Putih (Giant Perach)	8
2022	Februari	Kakap Merah (Red Snapper)	9
2022	Februari	Jenaha (Snapper)	29
2022	Februari	Kurisi (Threadfin bream)	969
2022	Februari	Kuniran (Sulphur goatfish)	31.630
2022	Februari	Kuro (Giant threadfish)	-
2022	Februari	Samgeh (Croackers)	234
2022	Februari	Alu-alu (Barracuda)	-
2022	Februari	Kerong-Kerong (Jarbua terapon)	294
2022	Februari	Layur (Hairtail fishes)	3.960
2022	Februari	Pari (Rays)	1.131
2022	Februari	Ekor Kuning (Yellow tail)	391
2022	Februari	Kerapu (Grouper)	87
2022	Februari	Beronang (Spotted spinefoot)	16
2022	Februari	" Udang 
Jerbung"	1.413
2022	Februari	Udang Krosok (Tiger cat shrimp)	1.461
2022	Februari	Rajungan (Swimming crabs)	7.074
2022	Februari	Cumi-cumi (Common squids)	36.238
2022	Februari	Sotong (Cuttle fish)	943
2022	Februari	Gurita (Octopuses)	185
2022	Februari	Udang lainnya (Other shrimps)	3.347
2022	Februari	" Sembilang  Euristhmus 
microceps"	560
2022	Februari	"Udang Kipas Tenus 
Orientalis"	260
2022	Februari	" Ikan 
LainnyaOthers"	6
2022	Maret	Teri (Anchovy)	17.897
2022	Maret	Teri Nasi (Anchovies)	430
2022	Maret	Belanak (Mullets)	-
2022	Maret	Bentong (Oxeye scad)	-
2022	Maret	Cendro (Needle fish)	98
2022	Maret	Talang-Talang (Queen fish)	201
2022	Maret	Ikan Terbang (Flying fish)	-
2022	Maret	Japuh (Rainbow sardine)	7.151
2022	Maret	Kembung (Indian mackerels)	22.041
2022	Maret	Layang (Scads)	
2022	Maret	Siro/Lemuru (Spotted sardinella)	1.972
2022	Maret	Selar (Trevallies)	6.941
2022	Maret	Tembang (Fringescale sardinella)	5.879
2022	Maret	Selanget (Chacunda gizzard shad)	3.386
2022	Maret	Tetengkek (Torpedo scad)	1.278
2022	Maret	Semar (Mene maculata)	1.244
2022	Maret	Tongkol (Frigate tuna)	801
2022	Maret	Layaran (Indo-pacific sailfish)	15
2022	Maret	Tenggiri (Narrow barred king mackerel)	4.778
2022	Maret	Cucut (Sharks)	39
2022	Maret	Manyung (Sea-cat fishes)	1.178
2022	Maret	Sebelah (Croaker)	381
2022	Maret	Kuwe (Great trevally)	473
2022	Maret	Bawal Hitam (Black pomfret)	-
2022	Maret	Bawal Putih (White pomfret)	-
2022	Maret	Golok-Golok (Dorab Wolf Hering)	196
2022	Maret	Beloso (Lizard fishes)	2.837
2022	Maret	Gerot-gerot (Saddle grunt)	-
2022	Maret	Peperek (Pony fishes)	42.526
2022	Maret	Kakap Putih (Giant Perach)	11
2022	Maret	Kakap Merah (Red Snapper)	11
2022	Maret	Jenaha (Snapper)	142
2022	Maret	Kurisi (Threadfin bream)	920
2022	Maret	Kuniran (Sulphur goatfish)	32.352
2022	Maret	Kuro (Giant threadfish)	
2022	Maret	Samgeh (Croackers)	351
2022	Maret	Alu-alu (Barracuda)	-
2022	Maret	Kerong-Kerong (Jarbua terapon)	13
2022	Maret	Layur (Hairtail fishes)	3.948
2022	Maret	Pari (Rays)	1.378
2022	Maret	Ekor Kuning (Yellow tail)	594
2022	Maret	Kerapu (Grouper)	94
2022	Maret	Beronang (Spotted spinefoot)	44
2022	Maret	" Udang 
Jerbung"	1.412
2022	Maret	Udang Krosok (Tiger cat shrimp)	1.777
2022	Maret	Rajungan (Swimming crabs)	8.461
2022	Maret	Cumi-cumi (Common squids)	41.226
2022	Maret	Sotong (Cuttle fish)	1.371
2022	Maret	Gurita (Octopuses)	132
2022	Maret	Udang lainnya (Other shrimps)	0
2022	Maret	" Sembilang  Euristhmus 
microceps"	457
2022	Maret	"Udang Kipas Tenus 
Orientalis"	483
2022	Maret	" Ikan 
LainnyaOthers"	81
2022	April	Teri (Anchovy)	23.133
2022	April	Teri Nasi (Anchovies)	-
2022	April	Belanak (Mullets)	123
2022	April	Bentong (Oxeye scad)	300
2022	April	Cendro (Needle fish)	23
2022	April	Talang-Talang (Queen fish)	111
2022	April	Ikan Terbang (Flying fish)	-
2022	April	Japuh (Rainbow sardine)	7.961
2022	April	Kembung (Indian mackerels)	18.846
2022	April	Layang (Scads)	
2022	April	Siro/Lemuru (Spotted sardinella)	1.260
2022	April	Selar (Trevallies)	3.534
2022	April	Tembang (Fringescale sardinella)	3.946
2022	April	Selanget (Chacunda gizzard shad)	2.130
2022	April	Tetengkek (Torpedo scad)	346
2022	April	Semar (Mene maculata)	1.018
2022	April	Tongkol (Frigate tuna)	1.878
2022	April	Layaran (Indo-pacific sailfish)	-
2022	April	Tenggiri (Narrow barred king mackerel)	2.825
2022	April	Cucut (Sharks)	29
2022	April	Manyung (Sea-cat fishes)	870
2022	April	Sebelah (Croaker)	267
2022	April	Kuwe (Great trevally)	175
2022	April	Bawal Hitam (Black pomfret)	64
2022	April	Bawal Putih (White pomfret)	-
2022	April	Golok-Golok (Dorab Wolf Hering)	84
2022	April	Beloso (Lizard fishes)	1.879
2022	April	Gerot-gerot (Saddle grunt)	-
2022	April	Peperek (Pony fishes)	42.099
2022	April	Kakap Putih (Giant Perach)	10
2022	April	Kakap Merah (Red Snapper)	35
2022	April	Jenaha (Snapper)	60
2022	April	Kurisi (Threadfin bream)	708
2022	April	Kuniran (Sulphur goatfish)	38.662
2022	April	Kuro (Giant threadfish)	16
2022	April	Samgeh (Croackers)	205
2022	April	Alu-alu (Barracuda)	
2022	April	Kerong-Kerong (Jarbua terapon)	1.081
2022	April	Layur (Hairtail fishes)	2.945
2022	April	Pari (Rays)	941
2022	April	Ekor Kuning (Yellow tail)	534
2022	April	Kerapu (Grouper)	58
2022	April	Beronang (Spotted spinefoot)	100
2022	April	" Udang 
Jerbung"	1.070
2022	April	Udang Krosok (Tiger cat shrimp)	1.262
2022	April	Rajungan (Swimming crabs)	7.421
2022	April	Cumi-cumi (Common squids)	31.296
2022	April	Sotong (Cuttle fish)	1.376
2022	April	Gurita (Octopuses)	196
2022	April	Udang lainnya (Other shrimps)	1.265
2022	April	" Sembilang  Euristhmus 
microceps"	587
2022	April	"Udang Kipas Tenus 
Orientalis"	328
2022	April	" Ikan 
LainnyaOthers"	79
2022	Mei	Teri (Anchovy)	40.544
2022	Mei	Teri Nasi (Anchovies)	-
2022	Mei	Belanak (Mullets)	485
2022	Mei	Bentong (Oxeye scad)	450
2022	Mei	Cendro (Needle fish)	49
2022	Mei	Talang-Talang (Queen fish)	37
2022	Mei	Ikan Terbang (Flying fish)	-
2022	Mei	Japuh (Rainbow sardine)	517
2022	Mei	Kembung (Indian mackerels)	22.513
2022	Mei	Layang (Scads)	7
2022	Mei	Siro/Lemuru (Spotted sardinella)	799
2022	Mei	Selar (Trevallies)	1.685
2022	Mei	Tembang (Fringescale sardinella)	5.905
2022	Mei	Selanget (Chacunda gizzard shad)	988
2022	Mei	Tetengkek (Torpedo scad)	99
2022	Mei	Semar (Mene maculata)	1.203
2022	Mei	Tongkol (Frigate tuna)	6.155
2022	Mei	Layaran (Indo-pacific sailfish)	1
2022	Mei	Tenggiri (Narrow barred king mackerel)	538
2022	Mei	Cucut (Sharks)	51
2022	Mei	Manyung (Sea-cat fishes)	65
2022	Mei	Sebelah (Croaker)	232
2022	Mei	Kuwe (Great trevally)	338
2022	Mei	Bawal Hitam (Black pomfret)	93
2022	Mei	Bawal Putih (White pomfret)	-
2022	Mei	Golok-Golok (Dorab Wolf Hering)	5
2022	Mei	Beloso (Lizard fishes)	1.642
2022	Mei	Gerot-gerot (Saddle grunt)	37
2022	Mei	Peperek (Pony fishes)	38.092
2022	Mei	Kakap Putih (Giant Perach)	18
2022	Mei	Kakap Merah (Red Snapper)	5
2022	Mei	Jenaha (Snapper)	54
2022	Mei	Kurisi (Threadfin bream)	741
2022	Mei	Kuniran (Sulphur goatfish)	42.946
2022	Mei	Kuro (Giant threadfish)	6
2022	Mei	Samgeh (Croackers)	93
2022	Mei	Alu-alu (Barracuda)	
2022	Mei	Kerong-Kerong (Jarbua terapon)	1.027
2022	Mei	Layur (Hairtail fishes)	2.412
2022	Mei	Pari (Rays)	731
2022	Mei	Ekor Kuning (Yellow tail)	400
2022	Mei	Kerapu (Grouper)	44
2022	Mei	Beronang (Spotted spinefoot)	24
2022	Mei	" Udang 
Jerbung"	718
2022	Mei	Udang Krosok (Tiger cat shrimp)	3.047
2022	Mei	Rajungan (Swimming crabs)	6.575
2022	Mei	Cumi-cumi (Common squids)	22.472
2022	Mei	Sotong (Cuttle fish)	1.029
2022	Mei	Gurita (Octopuses)	49
2022	Mei	Udang lainnya (Other shrimps)	4.350
2022	Mei	" Sembilang  Euristhmus 
microceps"	349
2022	Mei	"Udang Kipas Tenus 
Orientalis"	279
2022	Mei	" Ikan 
LainnyaOthers"	214
2022	Juni	Teri (Anchovy)	65.443
2022	Juni	Teri Nasi (Anchovies)	205
2022	Juni	Belanak (Mullets)	927
2022	Juni	Bentong (Oxeye scad)	125
2022	Juni	Cendro (Needle fish)	406
2022	Juni	Talang-Talang (Queen fish)	98
2022	Juni	Ikan Terbang (Flying fish)	-
2022	Juni	Japuh (Rainbow sardine)	1.019
2022	Juni	Kembung (Indian mackerels)	32.420
2022	Juni	Layang (Scads)	
2022	Juni	Siro/Lemuru (Spotted sardinella)	1.206
2022	Juni	Selar (Trevallies)	2.007
2022	Juni	Tembang (Fringescale sardinella)	12.393
2022	Juni	Selanget (Chacunda gizzard shad)	592
2022	Juni	Tetengkek (Torpedo scad)	804
2022	Juni	Semar (Mene maculata)	1.010
2022	Juni	Tongkol (Frigate tuna)	5.775
2022	Juni	Layaran (Indo-pacific sailfish)	-
2022	Juni	Tenggiri (Narrow barred king mackerel)	1.136
2022	Juni	Cucut (Sharks)	64
2022	Juni	Manyung (Sea-cat fishes)	195
2022	Juni	Sebelah (Croaker)	358
2022	Juni	Kuwe (Great trevally)	685
2022	Juni	Bawal Hitam (Black pomfret)	132
2022	Juni	Bawal Putih (White pomfret)	-
2022	Juni	Golok-Golok (Dorab Wolf Hering)	0
2022	Juni	Beloso (Lizard fishes)	1.846
2022	Juni	Gerot-gerot (Saddle grunt)	4
2022	Juni	Peperek (Pony fishes)	67.139
2022	Juni	Kakap Putih (Giant Perach)	28
2022	Juni	Kakap Merah (Red Snapper)	104
2022	Juni	Jenaha (Snapper)	156
2022	Juni	Kurisi (Threadfin bream)	1.140
2022	Juni	Kuniran (Sulphur goatfish)	53.540
2022	Juni	Kuro (Giant threadfish)	3
2022	Juni	Samgeh (Croackers)	130
2022	Juni	Alu-alu (Barracuda)	4
2022	Juni	Kerong-Kerong (Jarbua terapon)	180
2022	Juni	Layur (Hairtail fishes)	3.117
2022	Juni	Pari (Rays)	1.077
2022	Juni	Ekor Kuning (Yellow tail)	513
2022	Juni	Kerapu (Grouper)	30
2022	Juni	Beronang (Spotted spinefoot)	56
2022	Juni	" Udang 
Jerbung"	977
2022	Juni	Udang Krosok (Tiger cat shrimp)	3.681
2022	Juni	Rajungan (Swimming crabs)	9.110
2022	Juni	Cumi-cumi (Common squids)	17.852
2022	Juni	Sotong (Cuttle fish)	1.332
2022	Juni	Gurita (Octopuses)	202
2022	Juni	Udang lainnya (Other shrimps)	7.872
2022	Juni	" Sembilang  Euristhmus 
microceps"	518
2022	Juni	"Udang Kipas Tenus 
Orientalis"	322
2022	Juni	" Ikan 
LainnyaOthers"	23
2022	Juli	Teri (Anchovy)	32.134
2022	Juli	Teri Nasi (Anchovies)	-
2022	Juli	Belanak (Mullets)	638
2022	Juli	Bentong (Oxeye scad)	758
2022	Juli	Cendro (Needle fish)	87
2022	Juli	Talang-Talang (Queen fish)	14
2022	Juli	Ikan Terbang (Flying fish)	-
2022	Juli	Japuh (Rainbow sardine)	369
2022	Juli	Kembung (Indian mackerels)	17.369
2022	Juli	Layang (Scads)	51
2022	Juli	Siro/Lemuru (Spotted sardinella)	422
2022	Juli	Selar (Trevallies)	1.357
2022	Juli	Tembang (Fringescale sardinella)	12.897
2022	Juli	Selanget (Chacunda gizzard shad)	1.247
2022	Juli	Tetengkek (Torpedo scad)	1.001
2022	Juli	Semar (Mene maculata)	15
2022	Juli	Tongkol (Frigate tuna)	3.944
2022	Juli	Layaran (Indo-pacific sailfish)	19
2022	Juli	Tenggiri (Narrow barred king mackerel)	498
2022	Juli	Cucut (Sharks)	197
2022	Juli	Manyung (Sea-cat fishes)	213
2022	Juli	Sebelah (Croaker)	613
2022	Juli	Kuwe (Great trevally)	1.000
2022	Juli	Bawal Hitam (Black pomfret)	21
2022	Juli	Bawal Putih (White pomfret)	-
2022	Juli	Golok-Golok (Dorab Wolf Hering)	19
2022	Juli	Beloso (Lizard fishes)	2.052
2022	Juli	Gerot-gerot (Saddle grunt)	2
2022	Juli	Peperek (Pony fishes)	62.216
2022	Juli	Kakap Putih (Giant Perach)	1
2022	Juli	Kakap Merah (Red Snapper)	31
2022	Juli	Jenaha (Snapper)	41
2022	Juli	Kurisi (Threadfin bream)	1.115
2022	Juli	Kuniran (Sulphur goatfish)	31.683
2022	Juli	Kuro (Giant threadfish)	4
2022	Juli	Samgeh (Croackers)	164
2022	Juli	Alu-alu (Barracuda)	6
2022	Juli	Kerong-Kerong (Jarbua terapon)	10
2022	Juli	Layur (Hairtail fishes)	3.241
2022	Juli	Pari (Rays)	1.272
2022	Juli	Ekor Kuning (Yellow tail)	719
2022	Juli	Kerapu (Grouper)	60
2022	Juli	Beronang (Spotted spinefoot)	81
2022	Juli	" Udang 
Jerbung"	1.053
2022	Juli	Udang Krosok (Tiger cat shrimp)	3.029
2022	Juli	Rajungan (Swimming crabs)	8.631
2022	Juli	Cumi-cumi (Common squids)	9.867
2022	Juli	Sotong (Cuttle fish)	1.296
2022	Juli	Gurita (Octopuses)	346
2022	Juli	Udang lainnya (Other shrimps)	10.460
2022	Juli	" Sembilang  Euristhmus 
microceps"	502
2022	Juli	"Udang Kipas Tenus 
Orientalis"	563
2022	Juli	" Ikan 
LainnyaOthers"	186
2022	Agustus	Teri (Anchovy)	23.886
2022	Agustus	Teri Nasi (Anchovies)	31
2022	Agustus	Belanak (Mullets)	292
2022	Agustus	Bentong (Oxeye scad)	94
2022	Agustus	Cendro (Needle fish)	157
2022	Agustus	Talang-Talang (Queen fish)	55
2022	Agustus	Ikan Terbang (Flying fish)	107
2022	Agustus	Japuh (Rainbow sardine)	147
2022	Agustus	Kembung (Indian mackerels)	12.661
2022	Agustus	Layang (Scads)	-
2022	Agustus	Siro/Lemuru (Spotted sardinella)	403
2022	Agustus	Selar (Trevallies)	4.164
2022	Agustus	Tembang (Fringescale sardinella)	4.339
2022	Agustus	Selanget (Chacunda gizzard shad)	1.197
2022	Agustus	Tetengkek (Torpedo scad)	426
2022	Agustus	Semar (Mene maculata)	43
2022	Agustus	Tongkol (Frigate tuna)	3.539
2022	Agustus	Layaran (Indo-pacific sailfish)	49
2022	Agustus	Tenggiri (Narrow barred king mackerel)	388
2022	Agustus	Cucut (Sharks)	30
2022	Agustus	Manyung (Sea-cat fishes)	234
2022	Agustus	Sebelah (Croaker)	378
2022	Agustus	Kuwe (Great trevally)	1.107
2022	Agustus	Bawal Hitam (Black pomfret)	-
2022	Agustus	Bawal Putih (White pomfret)	-
2022	Agustus	Golok-Golok (Dorab Wolf Hering)	15
2022	Agustus	Beloso (Lizard fishes)	1.597
2022	Agustus	Gerot-gerot (Saddle grunt)	-
2022	Agustus	Peperek (Pony fishes)	38.534
